Date,/ES,AAPL Last,AAPL Bid,AAPL BS,AAPL Ask,AAPL AS,AAPL Volume,AAPL Open,AAPL High,AAPL Low,QQQ last,QQQ Bid,QQQ BS,QQQ Ask,QQQ AS,QQQ Volume,SPY Last,SPY Bid,SPY BS,SPY Ask,SPY AS,SPY Volume
1/16/2024 2:44:47 AM,4789.5,185.92,182.56,1,182.67,1,114849,0,0,0,409.56,406.68,18,406.73,8,92308,476.68,474.03,5,474.07,4,32847
1/16/2024 2:44:50 AM,4789.75,185.92,182.56,1,182.67,1,114873,0,0,0,409.56,406.68,18,406.72,8,92308,476.68,474.04,4,474.08,4,32852
1/16/2024 2:44:53 AM,4789.75,185.92,182.56,1,182.67,1,114873,0,0,0,409.56,406.68,17,406.72,8,92308,476.68,474.04,4,474.08,4,32852
1/16/2024 2:44:56 AM,4789.75,185.92,182.56,1,182.67,1,114873,0,0,0,409.56,406.69,17,406.7,3,92308,476.68,474.04,4,474.08,4,32852
1/16/2024 2:44:59 AM,4789.25,185.92,182.56,1,182.67,1,114873,0,0,0,409.56,406.65,8,406.68,3,92308,476.68,473.99,9,474.06,4,32852
1/16/2024 2:45:02 AM,4789.25,185.92,182.56,1,182.67,1,114873,0,0,0,409.56,406.65,8,406.68,3,92308,476.68,474.01,4,474.06,4,32918
1/16/2024 2:45:05 AM,4789.25,185.92,182.56,1,182.67,1,114874,0,0,0,409.56,406.65,8,406.67,2,92308,476.68,474.01,4,474.06,4,32918
1/16/2024 2:45:08 AM,4789.25,185.92,182.56,1,182.67,1,114874,0,0,0,409.56,406.65,9,406.66,2,92315,476.68,474.01,4,474.06,4,32918
1/16/2024 2:45:11 AM,4789.25,185.92,182.56,1,182.67,1,114874,0,0,0,409.56,406.65,9,406.66,2,92316,476.68,474.01,4,474.06,4,32918
1/16/2024 2:45:14 AM,4789.25,185.92,182.56,1,182.67,1,114874,0,0,0,409.56,406.64,19,406.68,9,92558,476.68,474.01,4,474.06,4,32918
1/16/2024 2:45:17 AM,4789.25,185.92,182.56,1,182.66,1,114874,0,0,0,409.56,406.64,9,406.68,9,92558,476.68,474.01,4,474.06,4,32918
1/16/2024 2:45:20 AM,4789.5,185.92,182.56,1,182.66,1,114874,0,0,0,409.56,406.66,10,406.68,1,92558,476.68,474.02,5,474.07,4,32918
1/16/2024 2:45:23 AM,4789.5,185.92,182.56,1,182.66,1,114874,0,0,0,409.56,406.66,18,406.7,1,92558,476.68,474.03,9,474.07,4,33018
1/16/2024 2:45:26 AM,4789.5,185.92,182.56,1,182.66,1,114874,0,0,0,409.56,406.66,10,406.7,1,92558,476.68,474.03,9,474.07,4,33018
1/16/2024 2:45:29 AM,4789.5,185.92,182.56,1,182.66,1,114875,0,0,0,409.56,406.66,18,406.7,1,92558,476.68,474.04,4,474.07,4,33018
1/16/2024 2:45:32 AM,4790,185.92,182.56,1,182.7,6,115080,0,0,0,409.56,406.66,18,406.71,17,99058,476.68,474.08,4,474.12,5,33020
1/16/2024 2:45:35 AM,4790,185.92,182.56,1,182.7,6,115080,0,0,0,409.56,406.66,19,406.71,17,99058,476.68,474.08,4,474.12,5,33020
1/16/2024 2:45:38 AM,4790,185.92,182.56,1,182.7,6,115080,0,0,0,409.56,406.67,19,406.72,17,99058,476.68,474.08,4,474.12,5,33020
1/16/2024 2:45:41 AM,4790,185.92,182.56,1,182.7,6,115080,0,0,0,409.56,406.68,1,406.72,8,99058,476.68,474.08,4,474.12,5,33020
1/16/2024 2:45:44 AM,4790,185.92,182.56,1,182.7,6,115080,0,0,0,409.56,406.69,27,406.73,9,99058,476.68,474.08,4,474.13,4,33020
1/16/2024 2:45:47 AM,4790,185.92,182.56,1,182.69,3,115080,0,0,0,409.56,406.69,18,406.73,1,99058,476.68,474.08,9,474.13,4,33020
1/16/2024 2:45:50 AM,4790.25,185.92,182.56,1,182.69,3,115080,0,0,0,409.56,406.69,9,406.73,1,99058,476.68,474.09,4,474.13,4,33020
1/16/2024 2:45:53 AM,4790,185.92,182.56,1,182.69,3,115080,0,0,0,409.56,406.69,18,406.73,9,99058,476.68,474.08,4,474.13,4,33020
1/16/2024 2:45:56 AM,4790.25,185.92,182.56,1,182.69,3,115080,0,0,0,409.56,406.68,27,406.73,1,99058,476.68,474.08,4,474.13,4,33020
1/16/2024 2:45:59 AM,4790,185.92,182.56,1,182.69,3,115080,0,0,0,409.56,406.68,19,406.73,9,99058,476.68,474.08,9,474.14,10,33020
1/16/2024 2:46:02 AM,4790,185.92,182.56,1,182.69,3,115080,0,0,0,409.56,406.68,19,406.73,9,99058,476.68,474.08,4,474.13,4,33028
1/16/2024 2:46:05 AM,4790,185.92,182.56,1,182.69,3,115080,0,0,0,409.56,406.66,18,406.71,17,99058,476.68,474.07,8,474.12,9,33028
1/16/2024 2:46:08 AM,4789.75,185.92,182.56,1,182.69,3,115082,0,0,0,409.56,406.66,1,406.69,8,99058,476.68,474.04,8,474.1,5,33028
1/16/2024 2:46:11 AM,4789.75,185.92,182.56,1,182.69,3,115082,0,0,0,409.56,406.65,19,406.7,17,99058,476.68,474.06,4,474.11,4,33028
1/16/2024 2:46:14 AM,4789.5,185.92,182.56,1,182.69,3,115083,0,0,0,409.56,406.64,16,406.68,8,99058,476.68,474.04,4,474.08,4,33028
1/16/2024 2:46:17 AM,4789.5,185.92,182.56,1,182.69,3,115083,0,0,0,409.56,406.64,16,406.68,8,99058,476.68,474.04,4,474.08,4,33028
1/16/2024 2:46:20 AM,4789.75,185.92,182.56,1,182.69,3,115083,0,0,0,409.56,406.65,18,406.7,17,99058,476.68,474.06,4,474.1,4,33028
1/16/2024 2:46:23 AM,4790,185.92,182.56,1,182.67,1,115087,0,0,0,409.56,406.69,8,406.73,9,99058,476.68,474.09,4,474.14,8,33028
1/16/2024 2:46:26 AM,4790,185.92,182.56,1,182.67,1,115087,0,0,0,409.56,406.69,18,406.73,9,99058,476.68,474.09,4,474.14,8,33028
1/16/2024 2:46:29 AM,4790,185.92,182.56,1,182.67,1,115087,0,0,0,409.56,406.69,18,406.73,9,99058,476.68,474.09,4,474.14,8,33028
1/16/2024 2:46:32 AM,4790,185.92,182.56,1,182.67,1,115097,0,0,0,409.56,406.66,18,406.71,17,99058,476.68,474.06,8,474.11,4,33028
1/16/2024 2:46:35 AM,4789.75,185.92,182.56,1,182.69,3,115097,0,0,0,409.56,406.65,19,406.7,17,99058,476.68,474.05,5,474.11,4,33028
1/16/2024 2:46:38 AM,4789.75,185.92,182.56,1,182.69,3,115097,0,0,0,409.56,406.65,19,406.7,8,99058,476.68,474.05,5,474.11,4,33028
1/16/2024 2:46:41 AM,4789.75,185.92,182.56,1,182.69,3,115102,0,0,0,409.56,406.63,9,406.67,8,99058,476.68,474.05,4,474.09,4,33029
1/16/2024 2:46:44 AM,4789.75,185.92,182.56,1,182.69,3,115102,0,0,0,409.56,406.63,1,406.67,8,99064,476.68,474.05,4,474.09,4,33029
1/16/2024 2:46:47 AM,4789.75,185.92,182.56,1,182.69,3,115102,0,0,0,409.56,406.64,1,406.68,17,99064,476.68,474.05,4,474.1,5,33029
1/16/2024 2:46:50 AM,4789.75,185.92,182.56,1,182.69,3,115102,0,0,0,409.56,406.65,1,406.69,8,99064,476.68,474.05,9,474.11,4,33029
1/16/2024 2:46:53 AM,4789.75,185.92,182.56,1,182.69,3,115103,0,0,0,409.56,406.63,17,406.67,8,99064,476.68,474.05,4,474.1,9,33029
1/16/2024 2:46:56 AM,4789.75,185.92,182.56,1,182.69,3,115103,0,0,0,409.56,406.63,1,406.67,8,99064,476.68,474.05,4,474.09,4,33029
1/16/2024 2:46:59 AM,4789.75,185.92,182.56,1,182.69,3,115104,0,0,0,409.56,406.65,16,406.69,8,99064,476.68,474.05,9,474.09,4,33029
1/16/2024 2:47:02 AM,4789.75,185.92,182.56,1,182.69,3,115104,0,0,0,409.56,406.64,18,406.68,8,99064,476.68,474.05,4,474.09,4,33029
